Customer,State,Customer Lifetime Value,Coverage,Effective To Date,Employment Status,Income,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Renew Offer Type,Total Claim Amount,Vehicle Class,Client Type,Response_No,Response_Yes,Education_Bachelor,Education_College,Education_Doctor,Education_High School or Below,Education_Master,Gender_F,Gender_M,Location Code_Rural,Location Code_Suburban,Location Code_Urban,Marital Status_Divorced,Marital Status_Married,Marital Status_Single,Policy_Corporate L1,Policy_Corporate L2,Policy_Corporate L3,Policy_Personal L1,Policy_Personal L2,Policy_Personal L3,Policy_Special L1,Policy_Special L2,Policy_Special L3,Sales Channel_Agent,Sales Channel_Branch,Sales Channel_Call Center,Sales Channel_Web,Vehicle Size_Large,Vehicle Size_Medsize,Vehicle Size_Small,vehicle_class_map,coverage_map,policy_map,renew_offer_type_map,employment_status_map
XF89906,Arizona,58207.13,Extended,2011-01-13,Disabled,29295,219,25,50,0,2,Personal Auto,Offer1,1328.84,Luxury SUV,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3,2,1,2.0,2
OM82309,California,58166.55,Basic,2011-02-27,Employed,61321,186,0,30,1,2,Personal Auto,Offer2,427.63,Luxury Car,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3,1,1,1.0,3
JZ23377,Oregon,57520.5,Premium,2011-01-20,Employed,48367,161,10,34,0,2,Personal Auto,Offer2,772.8,SUV,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2,3,1,1.0,3
DU50092,Oregon,56675.94,Premium,2011-01-24,Employed,77237,283,33,93,0,2,Personal Auto,Offer4,1358.4,Luxury SUV,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3,3,1,1.0,3
OY68395,Oregon,55277.45,Basic,2011-01-30,Employed,40740,198,19,60,0,2,Personal Auto,Offer1,950.4,Luxury SUV,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3,1,1,2.0,3
CL79250,Nevada,52811.49,Basic,2011-08-01,Unemployed,0,182,8,70,0,2,Corporate Auto,Offer2,873.6,Luxury Car,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1,1,1.0,2
AH58807,Arizona,51426.25,Basic,2011-09-01,Employed,84650,185,13,39,3,2,Personal Auto,Offer1,660.47,Luxury Car,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3,1,1,2.0,3
KI58952,California,51337.91,Premium,2011-02-24,Employed,72794,164,3,47,1,2,Personal Auto,Offer1,50.45,SUV,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2,3,1,2.0,3
LW64678,California,51016.07,Premium,2011-02-19,Employed,25167,140,3,76,0,2,Personal Auto,Offer2,422.49,SUV,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,3,1,1.0,3
QT84069,Oregon,50568.26,Extended,2011-02-28,Employed,82081,249,1,62,0,2,Personal Auto,Offer2,753.76,Luxury SUV,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3,2,1,1.0,3
BR50492,Arizona,49423.8,Extended,2011-04-01,Employed,85058,137,34,82,0,2,Personal Auto,Offer1,595.37,SUV,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,2,1,2.0,3
RP30093,Oregon,49221.43,Premium,2011-01-23,Employed,63035,153,20,97,0,2,Personal Auto,Offer1,734.4,SUV,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2,3,1,2.0,3
LU42720,Nevada,48356.96,Extended,2011-02-20,Employed,52499,138,0,61,0,2,Personal Auto,Offer3,1171.54,SUV,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,2,1,1.5,3
MJ77630,Oregon,47155.63,Extended,2011-10-02,Employed,39891,133,12,31,0,2,Personal Auto,Offer1,630.89,SUV,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2,2,1,2.0,3
CP92616,Nevada,46805.22,Extended,2011-02-25,Employed,83006,235,8,61,1,2,Personal Auto,Offer3,1065.05,Luxury SUV,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,2,1,1.5,3
KB44286,Oregon,46770.95,Basic,2011-01-02,Employed,64403,198,11,86,0,2,Corporate Auto,Offer1,111.17,Luxury SUV,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1,2,2.0,3
DM76654,California,46611.87,Extended,2011-06-02,Employed,22022,136,35,1,0,2,Personal Auto,Offer2,979.2,SUV,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2,2,1,1.0,3
GV41938,California,46302.08,Premium,2011-06-02,Unemployed,0,151,33,94,1,2,Personal Auto,Offer1,1087.2,SUV,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,3,1,2.0,2
OK56965,California,45708.65,Basic,2011-01-19,Employed,31264,198,9,54,1,2,Personal Auto,Offer2,825.66,Luxury SUV,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3,1,1,1.0,3
ZF84966,Nevada,44856.11,Extended,2011-02-22,Employed,61675,123,35,54,0,2,Corporate Auto,Offer1,482.55,SUV,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,2,2,2.0,3
CP85232,Arizona,44795.47,Extended,2011-04-02,Employed,58778,126,6,62,0,2,Special Auto,Offer1,302.03,SUV,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,2,1,2.0,3
AB31813,Washington,44771.3,Extended,2011-12-02,Unemployed,0,131,20,59,0,2,Personal Auto,Offer3,842.39,SUV,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2,2,1,1.5,2
SD41771,California,44520.14,Premium,2011-01-26,Employed,49259,144,35,36,0,2,Personal Auto,Offer3,820.43,Sports Car,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,3,1,1.5,3
XZ62712,Washington,44468.02,Extended,2011-01-29,Employed,32948,127,20,46,1,2,Personal Auto,Offer1,1428.97,SUV,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,2,1,2.0,3
RE46032,Nevada,43290.5,Extended,2011-01-29,Medical Leave,23203,132,21,71,0,2,Personal Auto,Offer1,1158.79,SUV,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2,2,1,2.0,1
IV94496,Nevada,43217.22,Extended,2011-01-27,Employed,51504,220,30,99,0,2,Personal Auto,Offer1,2552.34,Luxury SUV,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3,2,1,2.0,3
RI76571,Washington,43026.52,Basic,2011-07-01,Employed,59349,119,15,41,0,2,Personal Auto,Offer2,222.03,SUV,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,1,1,1.0,3
NA56063,California,43019.01,Extended,2011-01-22,Unemployed,0,132,24,49,0,2,Corporate Auto,Offer3,904.38,SUV,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2,2,1,1.5,2
VF65535,California,42937.35,Extended,2011-01-18,Employed,64937,122,27,43,0,2,Corporate Auto,Offer3,328.83,SUV,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2,2,1,1.5,3
BU72633,Nevada,42561.63,Basic,2011-10-01,Employed,66661,119,23,41,0,2,Personal Auto,Offer1,571.2,SUV,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2,1,1,2.0,3
HB29169,Washington,42462.97,Premium,2011-01-01,Unemployed,0,281,16,92,1,2,Personal Auto,Offer1,1499.81,Luxury SUV,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3,3,1,2.0,2
BQ88033,Oregon,42389.01,Extended,2011-02-17,Employed,82554,132,6,15,0,2,Personal Auto,Offer1,154.75,Sports Car,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2,2,1,2.0,3
QV83172,Nevada,41855.17,Extended,2011-02-15,Employed,28311,134,7,70,0,2,Personal Auto,Offer4,643.2,SUV,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2,2,1,1.0,3
BL44722,Nevada,41787.9,Premium,2011-01-31,Employed,46587,119,34,74,2,2,Personal Auto,Offer1,571.2,Four-Door Car,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,3,1,2.0,3
IE85867,Arizona,41787.9,Premium,2011-01-31,Employed,46587,119,34,74,2,2,Personal Auto,Offer1,571.2,Four-Door Car,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,3,1,2.0,3
IH35630,Oregon,41787.9,Premium,2011-01-31,Employed,46587,119,34,74,2,2,Personal Auto,Offer1,571.2,Four-Door Car,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,3,1,2.0,3
VB69838,Oregon,41787.9,Premium,2011-01-31,Employed,46587,119,34,74,2,2,Personal Auto,Offer1,571.2,Four-Door Car,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,3,1,2.0,3
ZI47098,California,41787.9,Premium,2011-01-31,Employed,46587,119,34,74,2,2,Personal Auto,Offer1,571.2,Four-Door Car,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,3,1,2.0,3
MN83273,California,41787.9,Premium,2011-01-31,Employed,46587,119,34,74,2,2,Personal Auto,Offer1,571.2,Four-Door Car,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,3,1,2.0,3
OQ45659,Arizona,41745.01,Premium,2011-01-01,Employed,45431,116,23,81,0,2,Personal Auto,Offer2,556.8,Four-Door Car,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,3,1,1.0,3
KN24990,Arizona,41491.74,Basic,2011-01-14,Employed,37748,181,21,22,2,2,Personal Auto,Offer1,868.8,Luxury Car,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3,1,1,2.0,3
OS96036,Arizona,41143.09,Basic,2011-01-16,Employed,63624,115,10,40,2,2,Personal Auto,Offer4,306.34,SUV,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2,1,1,1.0,3
NB30472,Arizona,41103.24,Premium,2011-01-24,Employed,30845,116,3,89,1,2,Personal Auto,Offer1,556.8,Four-Door Car,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,3,1,2.0,3
WL85494,California,41075.43,Extended,2011-02-17,Employed,21988,209,12,62,0,2,Personal Auto,Offer2,1003.2,Luxury Car,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3,2,1,1.0,3
AI14767,California,40688.53,Basic,2011-02-19,Employed,37455,114,13,57,0,2,Personal Auto,Offer4,547.2,SUV,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2,1,1,1.0,3
YE12395,Oregon,40636.67,Extended,2011-01-15,Employed,31267,129,4,45,0,2,Personal Auto,Offer4,619.2,Sports Car,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2,2,1,1.0,3
HZ64168,California,40440.76,Extended,2011-02-15,Unemployed,0,129,23,59,0,2,Personal Auto,Offer1,1191.32,SUV,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,2,1,2.0,2
ZZ42291,California,40235.97,Extended,2011-01-13,Employed,77143,125,5,49,3,2,Personal Auto,Offer1,176.01,SUV,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,2,1,2.0,3
FG91922,Arizona,40224.01,Basic,2011-07-02,Employed,48587,111,7,14,0,2,Personal Auto,Offer1,532.8,SUV,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2,1,1,2.0,3
KB90953,California,40132.01,Extended,2011-02-24,Employed,98710,123,21,42,0,2,Personal Auto,Offer2,587.39,Sports Car,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2,2,1,1.0,3
TS31417,Washington,39769.56,Basic,2011-01-26,Medical Leave,16645,117,19,92,0,2,Personal Auto,Offer1,696.96,SUV,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2,1,1,2.0,1
NE52009,California,39561.08,Basic,2011-02-01,Employed,60500,110,27,92,0,2,Personal Auto,Offer3,770.48,Sports Car,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2,1,1,1.5,3
FY40655,Washington,39400.19,Premium,2011-01-20,Unemployed,0,181,22,96,0,2,Personal Auto,Offer1,868.8,SUV,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,3,1,2.0,2
GA27295,California,39365.3,Basic,2011-01-14,Employed,99875,108,12,37,0,2,Personal Auto,Offer3,114.97,SUV,2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,1,1,1.5,3
